,Numero,TypeVoie,NbPieces,No_plan,prixm2,lon,lat,score_commerce,score_commerce_lux,periode_construction,Arrondissement,Quartier,score_jardin,score_monument,score_metro
9982,47.0,RUE,1.0,24,10.74074,2.308464,48.833954,0.1320754716981132,0.1,4.0,15,57,4.657318888058066,0.15000000000000002,0.07483899044245468
9983,59.0,RUE,1.0,19,10.12,2.290603,48.849221,0.2169811320754717,0.1,3.0,15,59,1.8340444638594608,0.5,0.12449228290190248
9984,59.0,RUE,1.0,19,8.0,2.290603,48.849221,0.2169811320754717,0.1,3.0,15,59,1.8340444638594608,0.5,0.12449228290190248
9985,22.0,RUE,2.0,126,9.2,2.298624,48.837834,0.5849056603773585,0.5,2.0,15,57,2.8392381354579173,0.25,0.10315946927824036
9986,60.0,RUE,3.0,15,9.302325,2.304327,48.842234,0.3584905660377358,0.5,2.0,15,58,13.36123915214864,0.45,0.07029075128094918
9987,60.0,RUE,3.0,15,10.279069,2.304327,48.842234,0.3584905660377358,0.5,2.0,15,58,13.36123915214864,0.45,0.07029075128094918
9988,13.0,RUE,3.0,68,10.230769,2.291824,48.841663,0.009433962264150943,0.0,5.0,15,60,4.759376750816561,0.25,0.08935091184683462
9989,13.0,RUE,5.0,68,10.313725,2.291824,48.841663,0.009433962264150943,0.0,5.0,15,60,4.759376750816561,0.25,0.08935091184683462
9990,63.0,RUE,3.0,19,9.444444,2.303985,48.842003,0.24528301886792453,0.3,3.0,15,58,7.72870965739645,0.45,0.07029075128094918
9991,63.0,RUE,4.0,19,9.4,2.303985,48.842003,0.24528301886792453,0.3,3.0,15,58,7.72870965739645,0.45,0.07029075128094918
9992,63.0,RUE,2.0,19,5.95,2.303985,48.842003,0.24528301886792453,0.3,3.0,15,58,7.72870965739645,0.45,0.07029075128094918
9993,49.0,RUE,4.0,36,9.02439,2.282222,48.84388,0.25471698113207547,0.26666666666666666,6.0,15,60,4.030514555431858,0.25,0.07198445626431547
9994,49.0,RUE,1.0,36,9.596774,2.282222,48.84388,0.25471698113207547,0.26666666666666666,6.0,15,60,4.030514555431858,0.25,0.07198445626431547
9995,49.0,RUE,1.0,36,8.181444,2.282222,48.84388,0.25471698113207547,0.26666666666666666,6.0,15,60,4.030514555431858,0.25,0.07198445626431547
9996,32.0,RUE,2.0,20,8.7,2.286508,48.849434,0.04716981132075472,0.0,3.0,15,59,35.403717419037505,0.4,0.10799315638254067
9997,32.0,RUE,2.0,20,10.222222,2.286508,48.849434,0.04716981132075472,0.0,3.0,15,59,35.403717419037505,0.4,0.10799315638254067
9998,16.0,RUE,2.0,20,8.292307,2.278635,48.845196,0.11320754716981132,0.06666666666666667,5.0,15,60,6.310353477961151,0.2,0.08359714387024487
9999,16.0,RUE,4.0,20,11.257731,2.278635,48.845196,0.11320754716981132,0.06666666666666667,5.0,15,60,6.310353477961151,0.2,0.08359714387024487
10000,16.0,RUE,6.0,20,8.805031,2.278635,48.845196,0.11320754716981132,0.06666666666666667,5.0,15,60,6.310353477961151,0.2,0.08359714387024487
10001,78.0,AV,1.0,9,9.071428,2.284632,48.8399,0.12264150943396226,0.1,5.0,15,60,7.249539754533623,0.25,0.09700983786630372
10002,78.0,AV,2.0,9,7.796428,2.284632,48.8399,0.12264150943396226,0.1,5.0,15,60,7.249539754533623,0.25,0.09700983786630372
10003,78.0,AV,1.0,9,10.25,2.284632,48.8399,0.12264150943396226,0.1,5.0,15,60,7.249539754533623,0.25,0.09700983786630372
10004,78.0,AV,3.0,9,10.747126,2.284632,48.8399,0.12264150943396226,0.1,5.0,15,60,7.249539754533623,0.25,0.09700983786630372
10005,78.0,AV,2.0,9,9.6054,2.284632,48.8399,0.12264150943396226,0.1,5.0,15,60,7.249539754533623,0.25,0.09700983786630372
10006,78.0,AV,2.0,9,10.63421,2.284632,48.8399,0.12264150943396226,0.1,5.0,15,60,7.249539754533623,0.25,0.09700983786630372
10007,78.0,AV,1.0,9,9.259259,2.284632,48.8399,0.12264150943396226,0.1,5.0,15,60,7.249539754533623,0.25,0.09700983786630372
10008,73.0,RUE,2.0,123,8.454545,2.297347,48.839153,0.5849056603773585,0.5,2.0,15,57,6.806606762690464,0.25,0.08252757542259229
10009,73.0,RUE,2.0,123,8.947368,2.297347,48.839153,0.5849056603773585,0.5,2.0,15,57,6.806606762690464,0.25,0.08252757542259229
10010,73.0,RUE,2.0,123,7.142857,2.297347,48.839153,0.5849056603773585,0.5,2.0,15,57,6.806606762690464,0.25,0.08252757542259229
10011,73.0,RUE,2.0,123,10.131578,2.297347,48.839153,0.5849056603773585,0.5,2.0,15,57,6.806606762690464,0.25,0.08252757542259229
10012,26.0,RUE,3.0,54,10.555555,2.29078,48.836101,0.05660377358490566,0.0,3.0,15,57,60.970771159744814,0.25,0.09110423978831698
10013,26.0,RUE,4.0,54,8.970588,2.29078,48.836101,0.05660377358490566,0.0,3.0,15,57,60.970771159744814,0.25,0.09110423978831698
10014,33.0,RUE,1.0,7,5.925925,2.308062,48.83959,0.12264150943396226,0.16666666666666666,4.0,15,58,6.814499021363263,0.5,0.07029075128094918
10015,33.0,RUE,1.0,7,10.806451,2.308062,48.83959,0.12264150943396226,0.16666666666666666,4.0,15,58,6.814499021363263,0.5,0.07029075128094918
10016,33.0,RUE,1.0,7,12.142857,2.308062,48.83959,0.12264150943396226,0.16666666666666666,4.0,15,58,6.814499021363263,0.5,0.07029075128094918
10017,33.0,RUE,1.0,7,10.411764,2.308062,48.83959,0.12264150943396226,0.16666666666666666,4.0,15,58,6.814499021363263,0.5,0.07029075128094918
10018,57.0,RUE,3.0,119,18.716216,2.289592,48.848395,0.04716981132075472,0.0,7.0,15,59,2.444171643542121,0.45,0.12449228290190248
10019,57.0,RUE,4.0,119,5.729166,2.289592,48.848395,0.04716981132075472,0.0,7.0,15,59,2.444171643542121,0.45,0.12449228290190248
10020,57.0,RUE,2.0,119,9.456521,2.289592,48.848395,0.04716981132075472,0.0,7.0,15,59,2.444171643542121,0.45,0.12449228290190248
10021,57.0,RUE,1.0,119,7.1875,2.289592,48.848395,0.04716981132075472,0.0,7.0,15,59,2.444171643542121,0.45,0.12449228290190248
