X,Y,OBJECTID,C_ORD,ARRO,QUA,IRIS,NUM,LET,TYP_VOIE,LIB_VOIE,NIV6,LIBACT,SIT,CODACT,SURF,CC_ID,CC_NIV,TYPE
652836.806274414,6862916.7678833,5933,7128,3,9,751030904,6,,RUE,MAIRE,1,Alimentation générale  <120m²,R,CA301,1,,,C
652715.800476074,6862921.25732422,5959,7157,3,9,751030904,84,,RUE,BEAUBOURG,1,Produits alimentaires bio et circuits courts,A,CA115,1,,,C
652793.436889648,6862847.84350586,5969,7167,3,9,751030904,28,,RUE,GRAVILLIERS,1,Boucherie - Boucherie-Charcuterie,R,CA109,1,,,C
652798.07611084,6862917.91387939,5986,7185,3,9,751030904,15,,RUE,MAIRE,1,Traiteur asiatique,R,CA102,1,,,C
652773.226318359,6862923.8729248,5991,7190,3,9,751030904,23,,RUE,MAIRE,1,Alimentation générale  <120m²,R,CA301,1,,,C
652764.993103027,6862925.88232422,5992,7191,3,9,751030904,25,,RUE,MAIRE,1,Commerce détail de boissons,R,CA111,1,,,C
652756.561889648,6862928.09307861,5993,7192,3,9,751030904,27,,RUE,MAIRE,1,Pâtisserie,R,CA104,1,,,C
652745.44732666,6862931.12670898,5995,7194,3,9,751030904,33,,RUE,MAIRE,1,Traiteur asiatique,R,CA102,1,,,C
652740.430297852,6862932.66888428,5996,7195,3,9,751030904,35,,RUE,MAIRE,1,Alimentation générale  <120m²,R,CA301,1,,,C
652918.113891602,6862796.41967773,6021,7222,3,9,751030904,129,,RUE,TEMPLE,1,Pâtisserie,R,CA104,1,,,C
653037.485717773,6862713.58068848,6057,7261,3,10,751031003,71,,RUE,ARCHIVES,1,Boulangerie - Boulangerie Pâtisserie,R,CA103,1,,,C
653046.227294922,6862725.08612061,6059,7263,3,10,751031003,75,,RUE,ARCHIVES,1,Alimentation générale  <120m²,R,CA301,1,,,C
652967.370910645,6862756.8505249,6076,7287,3,10,751031003,38,,RUE,PASTOURELLE,1,Commerce détail de boissons,R,CA111,1,,,C
653092.673095703,6862841.00787354,6113,7334,3,10,751031003,57,,RUE,BRETAGNE,1,Pâtisserie,R,CA104,1,,,C
653089.945129395,6862843.93328857,6114,7335,3,10,751031003,57,,RUE,BRETAGNE,1,Produits alimentaires spécialisés régionaux et étrangers,R,CA114,1,,,C
653070.94128418,6862864.40808105,6118,7340,3,10,751031003,61,,RUE,BRETAGNE,1,Alimentation générale  <120m²,R,CA301,1,,,C
653140.535522461,6862789.37548828,6160,7386,3,10,751031003,49,,RUE,BRETAGNE,1,Supermarché classique,R,CA202,2,,,C
653277.412719727,6862679.50628662,6162,7388,3,10,751031003,21,,RUE,BRETAGNE,1,Commerce détail de boissons,A,CA111,1,,,C
653273.544128418,6862682.534729,6163,7389,3,10,751031003,23,,RUE,BRETAGNE,1,Supérette  classique,R,CA302,1,,,C
653262.84967041,6862690.89093018,6164,7391,3,10,751031003,25,,RUE,BRETAGNE,1,Boulangerie - Boulangerie Pâtisserie,R,CA103,1,,,C
653260.211914062,6862692.95587158,6165,7392,3,10,751031003,27,,RUE,BRETAGNE,1,Chocolaterie - Confiserie,R,CA105,1,,,C
653256.277709961,6862696.02911377,6166,7393,3,10,751031003,29,,RUE,BRETAGNE,1,Vente de fruits et légumes,R,CA108,1,,,C
653251.191101074,6862700.00292969,6167,7394,3,10,751031003,31,,RUE,BRETAGNE,1,Boucherie - Boucherie-Charcuterie,R,CA109,1,,,C
653245.00189209,6862704.84387207,6169,7396,3,10,751031003,33,,RUE,BRETAGNE,1,Traiteur asiatique,R,CA102,1,,,C
