,Numero,TypeVoie,NbPieces,No_plan,prixm2,lon,lat,score_commerce,score_commerce_lux
28282,4.0,RUE,1.0,43,15.341529,2.374214,48.881176,0.3584905660377358,0.26666666666666666
28283,4.0,RUE,4.0,43,10.76815,2.374214,48.881176,0.3584905660377358,0.26666666666666666
28284,124.0,RUE,3.0,27,10.241379,2.388452,48.874687,0.46226415094339623,0.5666666666666667
28285,94.0,RUE,2.0,10,7.948717,2.374024,48.893758,0.08490566037735849,0.03333333333333333
28286,94.0,RUE,2.0,10,7.75,2.374024,48.893758,0.08490566037735849,0.03333333333333333
28287,94.0,RUE,2.0,10,7.197368,2.374024,48.893758,0.08490566037735849,0.03333333333333333
28288,94.0,RUE,2.0,10,7.01282,2.374024,48.893758,0.08490566037735849,0.03333333333333333
28289,94.0,RUE,2.0,10,7.552631,2.374024,48.893758,0.08490566037735849,0.03333333333333333
28290,5.0,QUAI,2.0,42,9.130434,2.387465,48.889542,0.018867924528301886,0.0
28291,121.0,AV,1.0,29,10.833333,2.381916,48.886013,0.07547169811320754,0.03333333333333333
28292,121.0,AV,1.0,29,10.833333,2.381916,48.886013,0.07547169811320754,0.03333333333333333
28293,121.0,AV,2.0,29,8.93617,2.381916,48.886013,0.07547169811320754,0.03333333333333333
28294,121.0,AV,2.0,29,5.652173,2.381916,48.886013,0.07547169811320754,0.03333333333333333
28295,4.0,RUE,5.0,205,9.30303,2.398028,48.875788,0.09433962264150944,0.0
28296,26.0,ALL,2.0,21,11.25,2.388036,48.884116,0.12264150943396226,0.06666666666666667
28297,4.0,RUE,3.0,2,9.052112,2.399663,48.87082,0.16037735849056603,0.13333333333333333
28298,15.0,RUE,2.0,169,6.634615,2.392438,48.880268,0.018867924528301886,0.03333333333333333
28299,50.0,RUE,3.0,90,11.535074,2.403741,48.867908,0.12264150943396226,0.1
28300,20.0,RUE,3.0,2,11.707692,2.383997,48.889058,0.009433962264150943,0.0
28301,45.0,RUE,3.0,60,9.694444,2.397631,48.857017,0.1509433962264151,0.1
28302,47.0,RUE,3.0,49,9.285714,2.406168,48.851162,0.1320754716981132,0.03333333333333333
28303,82.0,RUE,1.0,13,8.0,2.388317,48.878609,0.05660377358490566,0.0
28304,44.0,RUE,3.0,38,7.812133,2.39186,48.884473,0.12264150943396226,0.06666666666666667
28305,48.0,RUE,2.0,63,8.703703,2.400795,48.854628,0.05660377358490566,0.0
28306,34.0,RUE,4.0,52,6.139344,2.39989,48.878397,0.018867924528301886,0.0
28307,12.0,RUE,2.0,181,5.15625,2.393008,48.880789,0.02830188679245283,0.0
28308,17.0,RUE,2.0,147,9.459459,2.406208,48.86009,0.018867924528301886,0.0
28309,28.0,RUE,1.0,12,15.886111,2.379833,48.883326,0.25471698113207547,0.06666666666666667
28310,176.0,AV,5.0,68,7.9125,2.389537,48.887685,0.27358490566037735,0.1
28311,10.0,ALL,3.0,67,9.014492,2.373322,48.878678,0.1320754716981132,0.06666666666666667
28312,7.0,RUE,1.0,15,7.9,2.405382,48.85995,0.018867924528301886,0.0
28313,89.0,RUE,1.0,75,4.55,2.382551,48.873978,1.0,0.8
28314,166.0,RUE,3.0,5,9.586714,2.407559,48.863403,0.18867924528301888,0.06666666666666667
28315,19.0,RUE,3.0,257,7.8,2.396479,48.871213,0.09433962264150944,0.0
28316,19.0,RUE,1.0,257,8.333333,2.396479,48.871213,0.09433962264150944,0.0
28317,19.0,RUE,3.0,257,9.301886,2.396479,48.871213,0.09433962264150944,0.0
28318,1.0,RUE,3.0,5,8.369565,2.377626,48.890384,0.2358490566037736,0.06666666666666667
28319,2.0,RUE,2.0,16,9.189189,2.381792,48.875856,0.14150943396226415,0.16666666666666666
28320,29.0,RUE,2.0,93,9.523809,2.400566,48.873162,0.09433962264150944,0.0
28321,29.0,RUE,1.0,93,5.833333,2.400566,48.873162,0.09433962264150944,0.0
28322,16.0,RUE,2.0,147,7.678571,2.405091,48.866645,0.12264150943396226,0.06666666666666667
28323,4.0,PL,3.0,58,8.25,2.394764,48.865145,0.08490566037735849,0.06666666666666667
28324,15.0,QUAI,2.0,25,7.857142,2.386927,48.890373,0.009433962264150943,0.0
28325,30.0,RUE,3.0,7,10.824,2.392301,48.868549,0.07547169811320754,0.03333333333333333
28326,9.0,AV,1.0,13,19.833333,2.371343,48.882179,0.3584905660377358,0.26666666666666666
28327,6.0,RUE,2.0,22,10.3,2.385258,48.867134,0.27358490566037735,0.06666666666666667
